question,answer,brand,url
Do I need to tell you about any modifications or accessories to my car?,"Modifications are alterations made to the manufacturer’s standard body, engine, suspension, wheels or paintwork of your car which may affect its performance, value, safety or appearance.An accessory is an addition to your car which does not enhance the performance or change the structure of the car.If you choose to insure for an amount covered, just check the amount you cover your car for is enough to also include the value of the insured accessories and modifications as described on your Certificate of Insurance.If you choose to insure for market value (and we agree), accessories and modifications permanently fitted to the vehicle will be included in determining the market value when you make a claim.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/do-i-need-to-tell-you-about-any-modifications-or-accessories-to-my-car.html
How do I cancel my policy?,"I'm sorry you're thinking of cancelling! You can cancel your car (excl. CTP or MAI), home or landlord insurance via the AAMI virtual assistant. It's easy to get started, cancel your policy.For all other policies, contact us to talk to one of our specialists about cancelling.",aami,https://www.aami.com.au/faq/how-do-i-cancel-my-policy.html
Can I drive after surgery or caesarean?,"If you, or the person driving, is on medication that may impair your judgment behind the wheel, including painkillers, you may not be covered by your car insurance policy. This includes if you’re still medicated after any surgery or procedure, including a caesarean (c-section), or you’re under medical advice not to drive. If you’re in an accident post-surgery, we’ll take into account whether the surgery impaired your ability to drive when we look at your claim. We’ll also consider whether medication has affected your ability to drive.To get a better idea of what is and isn’t covered, it’s best to read your PDS.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/can-i-drive-after-surgery-or-caesarean.html
Are trailers covered under my car insurance policy?,"Two-wheel trailers attached to your car are covered by Comprehensive Car Insurance. As long as it’s attached to your car when the incident happens, we pay up to $1,000 for accidental damage. Theft of your attached trailer is also covered.Learn more about comprehensive car insurance",aami,https://www.aami.com.au/faq/are-trailers-covered-under-my-car-insurance-policy.html
What's a make safe?,"A “make safe” is an urgent temporary repair carried out to secure the property and prevent further damage. For example, if there’s a leak in the roof, a repairer will attend and may put up a temporary patch or tarp to stop further water damage. A permanent solution will follow as the claim progresses.To have a make safe completed, contact your Claims Officer to appoint a repairer. If calling outside standard business hours, contact our after-hours team on 13 22 44, who can arrange a make safe after lodging your claim.",aami,https://www.aami.com.au/faq/whats-a-make-safe.html
Does AAMI offer cover notes?,"No, we don’t offer cover notes at AAMI, but we do have a 21-day cooling off period on our car insurance policies. That means that from the day your policy begins or is renewed for another period of cover, you have 21 days to change your mind and, if you choose to, cancel your policy without penalty.If you haven’t made any claims within that 21 days, you’ll get a full refund of what you’ve paid for that period of insurance - but your cover will end.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/does-aami-offer-cover-notes.html
Will I be covered by my Landlord Insurance if my tenant stops paying the rent but does not leave my property?,"If you have an existing AAMI Landlord Insurance policy and you purchased Tenant Protection as an optional cover, you may be covered for loss of rent. You must have taken all reasonable steps legally available to you to remedy non-payment and/or evict the tenant (if possible). Limits and exclusions apply, so please check the Product Disclosure Statement. Need to make a claim? Lodge online or in the AAMI App, 24/7.Make a Claim",aami,https://www.aami.com.au/faq/will-i-be-covered-by-my-landlord-insurance-if-my-tenant-stops-paying-the-rent-but-does-not-leave-my-property.html
Where can I find my PDS?,"Your PDS (Product Disclosure Statement) provides all the nitty gritty details of your insurance policy. It’s important that you read through it if you’re considering taking out an AAMI insurance policy, or if you’re an existing policy holder and want to get more information. You can find all PDS documents, and other policy documents here: https://www.aami.com.au/policy-documents.html",aami,https://www.aami.com.au/faq/where-can-i-find-my-pds.html
How do I add an interested party to my policy?,"An interested party is someone who may have some vested financial concern over your personal motor insurance, but doesn’t have the authority to update, change or query it. Interested parties could include your car financier or a lender. Adding interested parties is important, as if your policy is at a total loss or your car is written-off, we’ll know who to pay if there are outstanding loans. Interested parties can be added easily to your personal motor insurance via your My Account:Log into your My Account and select the motor insurance policy you’d like to add an interested party toClick ‘Update policy’Select ‘Car finance’ and add your interested party details in thereYou might be looking for information on ‘authorised contacts’, who have full authority over your personal insurance policy. You can find that here.",aami,https://www.aami.com.au/faq/how-do-i-add-an-interested-party-to-my-policy.html
Do I get a refund if I cancel my car insurance?,"You have 21 days from when your policy begins or is renewed to change your mind. If you cancel within this period and haven’t made a claim, you can get a full refund. Outside of the 21 day cooling off period, you may still be able to receive a refund of the unused portion of your premium, less any non-refundable government charges. We will not give a refund if the refund is less than $10 (GST inclusive).Learn more about car insurance",aami,https://www.aami.com.au/faq/do-i-get-a-refund-if-i-cancel-my-car-insurance.html
Can I choose who repairs my car?,"To make things simpler for you, AAMI takes care of the entire quote and repair process, using one of our preferred repairers. That means after you've lodged your claim, you can sit back, relax, and let us handle things. To join our preferred repairer network, repairers must hold the latest industry qualifications and consistently deliver the highest standard of workmanship, quality assurance and customer care. This means we only partner with accredited repairers that set the highest standards. That’s why our authorised repairs come with a lifetime guarantee to give you a little extra peace of mind. Learn more about AAMI Repairs and Replacements",aami,https://www.aami.com.au/faq/can-i-choose-who-repairs-my-car.html
How can I pay for my insurance policy?,"To make your life easier, AAMI offers several flexible ways to pay for your insurance. This includes online with your debit or credit card, using BPAY, over the phone, and even at your nearest Australian Post Office. Check out all your options for paying your insurance policy by visiting our Payments page.",aami,https://www.aami.com.au/faq/how-can-i-pay-for-my-insurance-policy.html
Can I cancel my NSW CTP Green Slip?,"You can cancel your NSW CTP Insurance, but you’ll need to cancel your vehicle registration first. After you’ve cancelled the registration you won’t be able to legally drive the vehicle anymore.In NSW, you need to go to your closest Service NSW centre, bringing with you:Proof of identityThe Certificate of Registration for the vehicleA completed ‘number plates and/or cancellation of registration’ formIf possible, your vehicle's number platesA letter from your insurer or police, if your vehicle was written offPayment for the cancellation feeYou may be eligible for a refund of the unused portion of your registration, but you'll find out more about that when your cancellation goes through. To enable us to process the refund you will need to supply a confirmation of cancellation letter from Service NSW. If you purchased an AAMI Green Slip and then decided to go with another CTP insurer, you will be able to cancel your AAMI CTP policy as long as you haven't used it to register.Please call us on 13 22 44 in order for us to process a full refund. Learn more about CTP green slips",aami,https://www.aami.com.au/faq/can-i-cancel-my-nsw-ctp-green-slip.html
How do I add Roadside Assist to my policy?,"Roadside Assist is available as an Optional Cover for an additional cost for AAMI Comprehensive Car Insurance policy holders. Key features of Roadside Assist include:No joining fees24 hour unlimited* roadside calloutsTowing 20kms from the breakdown location to an accredited repairer. If there is no accredited repairer within 20kms we will tow the vehicle to the nearest accredited repairer up to 100kms from the breakdown locationTo add it to your policy, simply call 13 22 44 or chat to online us via the Contact Us page. If you’re a new customer, you can add it as an Optional Cover for an additional cost during the quote process. Roadside Assist is available 24 hours after adding it to your policy.For emergency roadside assistance, please call 1800 154 810. *Terms and conditions for coverage apply.Learn more about roadside assistance",aami,https://www.aami.com.au/faq/how-do-i-add-roadside-assist-to-my-policy.html
Is my mobile phone covered by my home insurance?,"Mobile phones can be covered under your AAMI Contents Insurance for loss or damage caused by insured events such as fire, flood or theft when the loss or damage occurs at the insured address.If you’d like to cover your mobile for accidental damage or loss – both at and away from your home – consider adding optional Extra Cover Portable valuables cover to your AAMI Contents Insurance for an added premium.Need to make a claim? Lodge online or in the AAMI App, 24/7.Make a Claim",aami,https://www.aami.com.au/faq/is-my-mobile-phone-covered-by-my-home-insurance.html
Can I remove flood cover from my home insurance policy?,"Flood is automatically included and cannot be removed from your policy.If you removed flood cover from an existing policy, your certificate of insurance will show this limitation in your cover.",aami,https://www.aami.com.au/faq/can-i-remove-flood-cover-from-my-home-insurance-policy.html
How do I change my address?,"Changing the address on your insurance is easy and can be done completely online. Simply log in to My Account, select ‘My policy list’ then ‘Update my policy’, and choose ‘Contact details’ under the ‘My personal details’ heading. Remember to double check that your mailing address is the correct one also. Please note: Life Insurance and Income Protection aren't currently supported online. Please call us on 13 22 44 if you need to change your address.",aami,https://www.aami.com.au/faq/how-do-i-change-my-address.html
Am I covered in an at-fault car accident?,"The extent to which you and your vehicle will be covered and if you can make a claim in an at-fault accident depends on your level of insurance. Read your PDS for conditions and exclusions. Generally, if you have:CTP Insurance, you’ll be covered for the costs of personal injury claims made against you in the event of a motor vehicle accident where pedestrians, cyclists, or other drivers are involved. This doesn’t include damage to your vehicle and the other driver’s, though.Third Party Property Damage Insurance, you may be covered for damage caused to another person’s vehicle or property, but you will not be covered for damage to your vehicle. If you have included Fire and Theft cover, you may be covered if your car is stolen or damaged by fire or attempted theft.Comprehensive Car Insurance, covers accidental damage to your vehicle, whether you’re at fault or not.Cover may vary from insurer to insurer or the state you live in. For more info, be sure to read your PDS.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/am-i-covered-in-an-at-fault-car-accident.html
Can I cancel my ACT MAI Insurance?,"Cancelling your MAI Insurance means cancelling your vehicle’s registration, which you can choose to do at any time. Once you’ve cancelled your registration, you won’t be allowed to drive your vehicle anymore.You can lodge your request to cancel at your nearest Access Canberra Service Centre. Learn more about MAI insurance",aami,https://www.aami.com.au/faq/can-i-cancel-my-act-mai-insurance.html
What's covered by my Public Liability Insurance?,"Included with AAMI Business Insurance policies, Public Liability Insurance can provide legal liability cover in case a third party sues your business, or you’re found to be negligent. For tradies, for example, this can include damage to third party property.It also includes injury to third parties, for example, if a customer slips and hurts themselves in your store. Head to the Public Liability page for more information or call 13 22 44 to speak to a customer service agent about your business. Learn more about public liability insurance",aami,https://www.aami.com.au/faq/whats-covered-by-my-public-liability-insurance.html
"Does Excess-Free Glass cover any of my contents that contain glass, like vases, drinking glasses and TV screens?","No, accidental breakage of glass in any contents is excluded under Excess-free Glass cover.Refer to the PDS for more information.Learn more about excess-free glass cover",aami,https://www.aami.com.au/faq/does-excess-free-glass-cover-any-of-my-contents-that-contain-glass-like-vases-drinking-glasses-and-tv-screens.html
Am I covered for collisions with wildlife?,"AAMI Comprehensive Car Insurance may cover damage to your car in the event of a collision with animals and wildlife, such as kangaroos, wallabies and more, if the collision wasn’t intentional. You will be insured up to the amount covered of your car, as listed on your Certificate of Insurance. Make sure to provide any images/dashcam video evidence when you make a claim.Third Party Property Damage and Compulsory Third Party (CTP) Insurance, on the other hand, will not cover damage to your vehicle as a result of an incident. However, if you or your passenger are injured in a not-at-fault collision with wildlife, CTP insurance and Third Party Property may cover associated rehabilitation and medical expenses. Conditions and exclusions apply, so make sure to read your relevant policy document. Learn more about Comprehensive Car Insurance",aami,https://www.aami.com.au/faq/am-i-covered-for-collisions-with-wildlife.html
What pre-existing medical conditions am I covered for?,"While AAMI doesn’t automatically provide cover for losses or expenses arising from most pre-existing medical conditions, there are a few we do:AsthmaBreast cancer/prostate cancerCataracts/glaucomaCoeliac DiseaseDiabetes/glucose intoleranceEar grommetsEpilepsyGastric refluxGoutHay fever (allergic rhinitis)Hiatus herniaHip/knee replacementHypercholesterolemia (high cholesterol)Hypertension (high blood pressure)MenopausePeptic UlcerUnderactive thyroidUnder certain circumstances we may not cover these pre-existing medical conditions; make sure you read the PDS to see exactly what you’re covered forIf you would like to talk to us about obtaining cover for a pre-existing medical condition please call us on 13 22 44 and we can discuss your options.Learn more about health insurance",aami,https://www.aami.com.au/faq/what-pre-existing-medical-conditions-am-i-covered-for.html
Is an AAMI Home Assist callout considered a claim?,"No, an AAMI Home Assist callout is not identified as a claim under your policy. Therefore, there is no excess payable for an AAMI Home Assist callout.Learn more about home assist",aami,https://www.aami.com.au/faq/is-an-aami-home-assist-callout-considered-a-claim.html
Why am I being charged an Emergency Services Levy (ESL) on my premium?,"If you’re an AAMI customer, you may find your total premium is higher than last year. This may be due to the Emergency Services Levy (ESL). The levy is charged by other NSW insurers as well. The money contributed to the ESL by insurers is used to meet funding obligations to the NSW State Government. This funds vital NSW emergency services, including Fire and Rescue NSW, the NSW Rural Fire Services, and the NSW Emergency Services and the NSW State Government has increased what’s required to fund these services.Your quote, new business or your renewal schedule will display the amount of ESL you are required to pay.To learn more about how this levy might impact the cost of your insurance, please get in contact with us. You can also learn more about the ESL in general, by:Visiting the NSW Government Revenue ESL information page",aami,https://www.aami.com.au/faq/why-am-i-being-charged-an-emergency-services-levy-esl-on-my-premium.html
What's the relationship between AAMI Health Insurance and nib health funds?,"AAMI Health Insurance is issued by nib health funds limited ABN 83 000 124 381 (nib), a registered private health insurer, and is marketed by Platform CoVentures Pty Ltd ABN 82 626 829 623 (PC), a Suncorp Group company. PC is an authorised agent of nib and receives commission from nib.",aami,https://www.aami.com.au/faq/whats-the-relationship-between-aami-health-insurance-and-nib-health-funds.html
How do I update my Home Insurance cover?,"To make your life easier, you can make a number of changes to your AAMI Home Insurance policy online. Through My Account, you can:update how much your contents and home are insured forupdate your Extra Cover Portable valuables - unspecified itemsupdate your personal details,and much more.Simply log in, click on ‘Update my policy’, and select the relevant policy you want to update.Some of the things that can’t be altered online include:changing your cover type (for example, from Property Owner to Landlord), andchanging the Extra Cover Portable valuables listed on your cover, andupdating mortgagee detailsFor these things, please give us a call on 13 22 44 and we’ll happily help you out.",aami,https://www.aami.com.au/faq/how-do-i-update-my-home-insurance-cover.html
Does my Home and Contents Insurance Policy cover me for bushfires?,"AAMI's Home and Contents policies can provide cover for loss or damage caused by a bushfire. In the lead-up to bushfire season, it’s important to make sure that your home is properly covered. This includes updating your sum insured to cover the cost of a rebuild if necessary.It’s also important to note that AAMI doesn’t cover new customers for bushfires within the first 72 hours of starting the policy (with limited exceptions). Refer to the PDS for more information.If you need immediate help or you’d like to speak to one of our customer service agents about your situation, please call 13 22 44 or chat to a claims consultant online. Need to make a claim? Lodge online or in the AAMI App, 24/7.Make a Claim",aami,https://www.aami.com.au/faq/does-my-home-and-contents-insurance-policy-cover-me-for-bushfires.html
Can I renew my NSW CTP Insurance term to 6 months?,"If you have a light vehicle (vehicles with GVM less than 4.5 tonnes), you have the option to choose between a 6 month or 12 month term.As long as you pay for both the CTP Insurance and registration within 21 days of the due date, you can choose a 6 month term for the renewal of your CTP.If it’s been more than 21 days since your registration was due, you can only choose the 12 month period, unless there are ‘extenuating circumstances’ for us to accept the late payment.Learn more about CTP green slips",aami,https://www.aami.com.au/faq/can-i-renew-my-nsw-ctp-insurance-term-to-6-months.html
Why do I need Excess-Free Glass cover? I thought I already had cover for glass breakage under my policy?,"Yes, accidental glass breakage is automatically covered under your policy. However, when you make a claim, you will need to pay the excess that applies to your policy. When you have Excess-free Glass cover, you do not pay an excess when you make a claim.Refer to the PDS for more information.",aami,https://www.aami.com.au/faq/why-do-i-need-excess-free-glass-cover-i-thought-i-already-had-cover-for-glass-breakage-under-my-policy.html
Can I update my insurance policy online?,"AAMI has made it easy for you to update most of your policy details online. Simply log in to My Account and click the ‘My policy list’ link. This will take you to a list of your AAMI policies, where you can click on the link to ‘Update my policy’.Please note: A few of our policies, such as Life Insurance and Income Protection, can’t be updated using our online system. Please call us on 13 22 44 if you'd like make changes.",aami,https://www.aami.com.au/faq/can-i-update-my-insurance-policy-online.html
Will AAMI waive the excess on Landlord Insurance policies if the tenant is unable to pay rent?,All standard excesses will still apply for AAMI Landlord Insurance policies if a tenant is unable to pay their rent.Refer to the PDS for more information.Make a claim,aami,https://www.aami.com.au/faq/will-aami-waive-the-excess-on-landlord-insurance-policies-if-the-tenant-is-unable-to-pay-rent.html
What is an ITCE% and why is it deducted?,"You must tell us about the Input Tax Credits (ITC) you’re entitled to for your premium and claim, every time you make a claim. If you’re unsure, please confirm with your accountant. When we calculate a payment to you for your claim, we may reduce it by any ITC you are, or would be, entitled to receive.If you don’t tell us of your entitlement, or the information you give us is incorrect, we won’t cover you for any resulting fines, penalties or tax liability incurred.",aami,https://www.aami.com.au/faq/what-is-an-itce-and-why-is-it-deducted.html
What types of trades are covered by AAMI Home Assist?,"In the event of a home emergency, AAMI Home Assist will be able to dispatch the following tradies:PlumberElectricianLocksmithCarpenterLearn more about home assist",aami,https://www.aami.com.au/faq/what-types-of-trades-are-covered-by-aami-home-assist.html
Can unlisted drivers be covered in the event of an accident?,"Whether or not an unlisted driver might be covered in the event of an accident can depend on if the driver is legally allowed to drive the car. For example, P-Platers driving turbocharged cars that are over state regulated power-to-weight ratio limits would not be covered.If the driver is legally allowed to drive the car, you may still be able to make a claim, however you may incur an unlisted driver excess.If you’re looking to add a listed driver to your policy, this article has a step-by-step guide on how to do so.For more information, please call 13 22 44.Learn more about Car Insurance",aami,https://www.aami.com.au/faq/can-unlisted-drivers-be-covered-in-the-event-of-an-accident.html
How much Life Insurance cover do I need?,"Working out how much Life Insurance cover you’ll need really varies across each person. One approach is to think about how much you can realistically afford to pay for cover each month, taking into consideration your existing expenses. An alternate approach may be to consider your current debts and future expenses like your mortgage or rent, living expenses, child care costs, schooling fees, etc.Learn more about life insurance",aami,https://www.aami.com.au/faq/how-much-life-insurance-cover-do-i-need.html
Am I covered for contents and stock I take from the office to work at home?,"If you have purchased Property Damage Cover and/or Theft Cover, your policy provides the Additional benefit of ‘Temporary removal of stock and/or contents’. Cover is provided whilst stock and/or contents are temporarily removed from your business premises to another premises, such as your home, for up to 90 days.Exclusions apply. Check your policy schedule and PDS for limits and full details of these Additional benefits.",aami,https://www.aami.com.au/faq/am-i-covered-for-contents-and-stock-i-take-from-the-office-to-work-at-home.html
How do I find my VIN?,"Your Vehicle Identification Number (VIN) is your vehicle’s unique 17 character code. It can be used when tracking recalls, registrations, warranties, claims and theft. Your VIN can be located in a few places inside and outside your vehicle:Where the corner of the dashboard meets the windshield on the driver’s side.The door post (where the door latches when it’s closed) on the driver’s side.At the front of the engine block (under your bonnet).At the front end of the frame behind the driver’s side tyre.Inside of the driver’s side door jamb (where the door connects to the body of the car).If you still can’t find it, check your vehicle’s registration certificate or the owner’s manual (if you have it). You can also call the dealership or manufacturer, give them the make and model of your vehicle and ask where the VIN is located. Learn more about car insurance",aami,https://www.aami.com.au/faq/how-do-i-find-my-vin.html
How do I find my closest AAMI repair assessment centre?,"If you’re looking for your closest assessment and repair centre, simply select your state or territory from this list of our authorised S.M.A.R.T centres.",aami,https://www.aami.com.au/faq/how-do-i-find-my-closest-aami-repair-assessment-centre.html
How do I lodge a CTP claim?,The way you lodge a claim varies a bit state to state. We’ve made the process as easy as possible for you – check out all the information you need to know about lodging a CTP claim in one place. Just remember to look under the tab with your state in it. Make a claim,aami,https://www.aami.com.au/faq/how-do-i-lodge-a-ctp-claim.html
Are trailers and caravans included in my CTP or MAI Insurance cover?,"As long as your trailer and/or caravan is in a roadworthy condition, it will be covered by the CTP or MAI Insurance policy of the vehicle towing it.Learn more about CTP insurance Learn more about ACT MAI Insurance",aami,https://www.aami.com.au/faq/are-trailers-and-caravans-included-in-my-ctp-or-mai-insurance-cover.html
"I've just bought my first home, what should I know about Home Insurance?","Congratulations, buying your first home is a big deal! It can also be a bit of an overload of information, which is why AAMI has put together a first home buyers insurance guide.",aami,https://www.aami.com.au/faq/ive-just-bought-my-first-home-what-should-i-know-about-home-insurance.html
"What is an excess, how is it calculated and when do I pay it?","An excess is your contribution towards the cost of a claim and is a requisite policy condition. Effectively, the excess is the amount you self-insure. Your cover starts once insured loss or damage exceeds the excess. The excess will depend on the circumstances of the claim.Some Additional Benefits and Optional Covers have their own excess, in addition to any other excess that may apply. When multiple excesses apply, you might have to pay more than one excess.The amount and details of each applicable excess is shown on your Policy Schedule. Information on how and when an excess applies can also be found in the Product Disclosure Statement (PDS).When you make a claim, and depending on the claim type, you can pay any appliable excesses in one of the following ways:All claim types – you pay directly to us.Repairs authorised - in some instances, and before repairs commence, you pay the appointed repairer or supplier.Cash settlement – the excess is deducted from the claim settlement amount.",aami,https://www.aami.com.au/faq/what-is-an-excess-how-is-it-calculated-and-when-do-i-pay-it.html
Can a family member update my home insurance policy?,"If you want for someone other than yourself (the policy holder) to be able to make changes to your home insurance policy, you’ll need to list them as a nominated representative. You can do that easily by calling us on 13 22 44. You can also email us at aami@aami.com.au, although response time is generally longer, so if it’s urgent it’s better to call.In your email, make sure you include the following details:Your full name (first and last name)Your date of birthYour full addressAs well as your your nominated representative's:full namedate of birth, andphone number Learn more about Home Insurance",aami,https://www.aami.com.au/faq/can-a-family-member-update-my-home-insurance-policy.html
How do I get a CTP Green Slip?,"Getting a NSW CTP insurance policy (Green Slip) is easy!You can get a quote online with AAMI in minutes. Once you do, we’ll send confirmation directly to Transport for NSW so you can complete your vehicle registration.Get a Green Slip quote in minutes",aami,https://www.aami.com.au/faq/how-do-i-get-a-ctp-green-slip.html
How can I pay for my NSW CTP?,"AAMI makes it easy to pay your CTP Insurance (also known as Green Slip) with three convenient payment options. Choose to pay online (with a Visa, MasterCard, or American Express), over the phone, or at your nearest Australia Post Office – whatever works for you. Check out all the ways you can pay for your NSW CTP insurance.Pay or renew your CTP Insurance",aami,https://www.aami.com.au/faq/how-can-i-pay-for-my-nsw-ctp.html
How do I lodge a Business Insurance claim?,"If you’d like to lodge a claim, visit our claims page.",aami,https://www.aami.com.au/faq/how-do-i-lodge-a-business-insurance-claim.html
What caravan modifications do I need to let you know about?,"Many modern caravans come with extra modifications as a standard, including solar panels, external showers and kitchens, air conditioning, and TV antennas. These don’t generally need to be reported to us when getting a quote. If you’ve had a non-standard modification fitted, like wheelchair access, please call us on 13 22 44 so that we can make sure it’s included in the total amount covered for the caravan. Learn more about caravan insurance",aami,https://www.aami.com.au/faq/what-caravan-modifications-do-i-need-to-let-you-know-about.html
What are the hours of operation for an AAMI Home Assist callout?,"AAMI Home Assist can be contacted 24 hours a day, 7 days a week. Our support team will be able to assess the emergency. Assistance will be provided as quickly as possible, but during certain hours there may be limited availability. The response time will depend on a variety of factors including severity, location of your insured address and the demand for AAMI Home Assist at that time.Learn more about home assist",aami,https://www.aami.com.au/faq/what-are-the-hours-of-operation-for-an-aami-home-assist-callout.html
